section_name,filename,human_ann1,human_ann2,human_ann3,human_ann4
U.S.,09trump-news-security-clearance-mfkg-articleLarge.jpg,"Former Secretary of State Antony Blinken, Attorney General Letitia James of New York and the Manhattan district attorney, Alvin Bragg, were among those the president singled out.","Former Secretary of State Antony Blinken, Attorney General Letitia James of New York and the Manhattan district attorney, Alvin Bragg, were among those the president singled out.",Trump to Revoke Security Clearances for Prosecutors and Biden Officials. Trump Is Revoking Security Clearances for Prosecutors and Some Former Biden Officials,'Secretary of State Antony J. Blinken in January. President Trump said he would revoke his security clearance.'
U.S.,22dc-trump-emboldened-articleLarge.jpg,It is unclear how much is left in Washington to restrain him.,It is unclear how much is left in Washington to restrain him.,"From Day 1, Trump Tests the Limits of His Authority. Trump Hurries  To Test Limits  Of His Powers","'On the first day of Mr. Trump’s second presidency, he decreed that every Jan. 6 rioter would get a reprieve.'"
U.S.,28dc-gabbard01a-photo-fmvw-articleLarge.jpg,"Ms. Gabbard, President Trump’s nominee for director of national intelligence, was briefly subject to special scrutiny on airline flights last year, but not, officials say, for the partisan reasons she has alleged.","Ms. Gabbard, President Trump’s nominee for director of national intelligence, was briefly subject to special scrutiny on airline flights last year, but not, officials say, for the partisan reasons she has alleged.",A Vatican Meeting Added to Scrutiny of Tulsi Gabbard’s Foreign Travels. Gabbard’s Flight Trips Got Special Scrutiny After Vatican Meeting,'Former Representative Tulsi Gabbard at the Capitol in December for meetings with senators. Her confirmation hearing is scheduled for Thursday.'
U.S.,xxjan6-history-top-glbc-articleLarge.jpg,The president-elect and his allies have spent four years reinventing the Capitol attack — spreading conspiracy theories and weaving a tale of martyrdom to their ultimate political gain.,The president-elect and his allies have spent four years reinventing the Capitol attack — spreading conspiracy theories and weaving a tale of martyrdom to their ultimate political gain.,‘A Day of Love’: How Trump Inverted the Violent History of Jan. 6. How Trump Flipped Script And Made Jan. 6 an Asset,"'Rioters on the steps of the Capitol, where President-elect Donald J. Trump will take his oath of office.'"
U.S.,dc-pardons20-articleLarge.jpg,The new administration has created a system for awarding clemency that underscores the president’s grievances about what he sees as the political weaponization of the justice system.,The new administration has created a system for awarding clemency that underscores the president’s grievances about what he sees as the political weaponization of the justice system.,Trump Allies Seek Pardons From an Emboldened White House. Pardon Seekers Emphasize Their Loyalty to Trump,'Greg E. Lindberg is seeking clemency after being convicted in an insurance bribery scheme in North Carolina.'
U.S.,17trump-news-pence-inauguration1-hgfp-articleLarge.jpg,"The relationship between President-elect Trump and his former vice president, Mike Pence, was irreparably broken when Mr. Pence refused Mr. Trump’s efforts to overturn the election.","The relationship between President-elect Trump and his former vice president, Mike Pence, was irreparably broken when Mr. Pence refused Mr. Trump’s efforts to overturn the election.",Pence Is Said to Be Planning to Attend Trump’s Inauguration.,'Former Vice President Mike Pence greeting Donald Trump at the funeral for former President Jimmy Carter at Washington National Cathedral last week.'
U.S.,00dc-bessent-gvmc-articleLarge.jpg,The Treasury secretary received counsel and criticism from some of his predecessors over President Trump’s policies.,The Treasury secretary received counsel and criticism from some of his predecessors over President Trump’s policies.,Bessent Takes Tricky Center Stage as Trade Wars Roil U.S. Economy. Bessent Takes Tricky Center Stage as Trade Wars Roil U.S. Economy,'Treasury Secretary Scott Bessent discussing President Trump’s 90-day pause on “reciprocal” global tariffs on Wednesday.'
U.S.,21trump-news-migrant-parole1-kmfw-articleLarge.jpg,"By the end of 2024, more than 500,000 migrants had entered the United States through the initiative, known as the C.H.N.V. program.","By the end of 2024, more than 500,000 migrants had entered the United States through the initiative, known as the C.H.N.V. program.",Trump Administration Moves to End Program for Migrants From 4 Caribbean and Latin American Nations.,'Venezuelan migrants who were sent back home from Mexico on Thursday.'
U.S.,06xp-soldiers-wthf-articleLarge.jpg,One of the soldiers was accused in a federal indictment of selling sensitive information to people in China. A former soldier was also arrested.,One of the soldiers was accused in a federal indictment of selling sensitive information to people in China. A former soldier was also arrested.,Two Army Soldiers Are Accused of Selling Military Secrets.,"'Two Army soldiers stationed at Joint Base Lewis-McChord near Tacoma, Wash., were arrested, as was a former soldier who served in the Army from 2013 to 2017, the Justice Department said.'"
U.S.,10dc-memo-topart-cgtz-articleLarge.jpg,President Trump’s sweeping promises are running headlong into the reality of governing.,President Trump’s sweeping promises are running headlong into the reality of governing.,Trump Promised Americans Booming Wealth. Now He’s Changing His Tune..,"'In a television interview over the weekend, President Trump refused to rule out a recession, a striking change in tone and message for him.'"
U.S.,11trump-news-tesla-event-hjqp-articleLarge.jpg,"President Trump has spent years bashing electric vehicles. But with Elon Musk by his side, he said he would buy a bright red one.","President Trump has spent years bashing electric vehicles. But with Elon Musk by his side, he said he would buy a bright red one.","Trump, an E.V. Naysayer, Gives Tesla and Musk a White House Exhibition.","'President Trump with Elon Musk, looking at a new Tesla vehicle on the South Grounds of the White House, on Tuesday.'"
U.S.,30trump-news-auto-prices-vwmp-articleLarge.jpg,"The president said he “couldn’t care less” if automakers raised prices in response to planned tariffs, reasoning that buyers would choose U.S.-made cars over foreign brands.","The president said he “couldn’t care less” if automakers raised prices in response to planned tariffs, reasoning that buyers would choose U.S.-made cars over foreign brands.",Trump’s New Concession on Tariffs Is His Most Striking.,"'The Ford Assembly Plant in Wayne, Mich., in 2023.'"
U.S.,02dc-unfairtrade-mwvk-articleLarge.jpg,President Trump says that countries have been ripping off the United States for decades. There is some truth to that argument — but also a lot of hypocrisy.,President Trump says that countries have been ripping off the United States for decades. There is some truth to that argument — but also a lot of hypocrisy.,"Trump Says Global Trade Is Unfair. Does He Have a Point?. Global Trade Robs U.S.,  Trump Says. Is He Right?","'President Trump has lumped in friendly allies, which have relatively few barriers to U.S. exports, with nations that have extensive trade barriers.'"
U.S.,13DC-POWERS-mbfj-articleLarge.jpg,"On spending, oversight and other issues, Republican lawmakers have willingly ceded power traditionally reserved for Congress to the Trump White House.","On spending, oversight and other issues, Republican lawmakers have willingly ceded power traditionally reserved for Congress to the Trump White House.","Under G.O.P., Congress Cedes Power to Trump, Eroding Its Influence. Republicans In Congress Cede Power",''
U.S.,30nat-skaters-03-vhgt-articleLarge.jpg,Cory Haynos was among several budding figure-skating stars who died in the plane crash near Reagan National Airport.,Cory Haynos was among several budding figure-skating stars who died in the plane crash near Reagan National Airport.,The Skater Who Stuck a Triple Axel Before Boarding the Flight. A Skater’s Triumph Magnifies The Tragedy for a Community,"'The Wichita Ice Center on Thursday. A special training session for up-and-coming skaters concluded at the Kansas facility on Wednesday, hours before the plane crash.'"
U.S.,10DC-GABBARD-cmtk-articleLarge.jpg,"The test vote indicated that despite early reservations even among some Republicans, the former Democratic congresswoman had the necessary support to be confirmed in a vote expected by Wednesday.","The test vote indicated that despite early reservations even among some Republicans, the former Democratic congresswoman had the necessary support to be confirmed in a vote expected by Wednesday.","Senate Advances Gabbard, Signaling Quick Confirmation. Senate Advances Gabbard Nomination, Signaling a Quick Confirmation to Come",'Tulsi Gabbard during a Senate confirmation hearing in Washington last month.'
U.S.,13dc-ai-rule-01-mthw-articleLarge.jpg,New rules aim to keep advanced technology out of China and to ensure that cutting-edge artificial intelligence is developed by the United States and its allies.,New rules aim to keep advanced technology out of China and to ensure that cutting-edge artificial intelligence is developed by the United States and its allies.,Biden Administration Adopts Rules to Guide A.I.’s Global Spread. Biden Administration Imposes Limits on Exports of A.I. Chips,'A goal of the new rules is to keep the most advanced A.I. models within the borders of the United States and its partners.'
U.S.,12trump-news-header-wzbg-articleLarge.jpg,"Federal agencies were given a Monday deadline to submit their next-stage plans for reductions in force, but many have not publicly released details.","Federal agencies were given a Monday deadline to submit their next-stage plans for reductions in force, but many have not publicly released details.",What to Know About Trump’s Large-Scale Layoff Plans So Far.,'A protest against the dismantling of the Education Department at its headquarters in Washington in March.'
U.S.,13trump-news-trump-tower-wbcf-articleLarge.jpg,"Demonstrators led by a progressive Jewish group gathered to support Mahmoud Khalil, the Palestinian activist whom the Trump administration wants to deport.","Demonstrators led by a progressive Jewish group gathered to support Mahmoud Khalil, the Palestinian activist whom the Trump administration wants to deport.",Nearly 100 Protesters Backing Khalil Are Arrested Inside Trump Tower.,"'Nearly 100 demonstrators were arrested at the protest, which took place Thursday inside Trump Tower in Manhattan.'"
U.S.,15dc-courts-01-phtb-articleLarge.jpg,"Scholars say that the Trump administration is now flirting with lawless defiance of court orders, a path with an uncertain end.","Scholars say that the Trump administration is now flirting with lawless defiance of court orders, a path with an uncertain end.","In Showdowns With the Courts, Trump Is Increasingly Combative. Trump Flirts With Defying Court Orders",'The Trump administration has responded contentiously to orders from the Supreme Court and lower courts alike.'
U.S.,15scotus-tiktok-arguments-VERSION-fkqb-articleLarge.jpg,NA,NA,The Supreme Court appeared poised to uphold the law when it heard arguments on Friday..,'Several justices seemed troubled by the possibility that China could use data culled from the TikTok app for espionage.'
U.S.,11nat-trans-language-healthcare-mfwv-articleLarge.jpg,"Using words like “maiming” and “junk science,” the directives try to portray trans people as lacking honesty and integrity, and thus unworthy of legal rights.","Using words like “maiming” and “junk science,” the directives try to portray trans people as lacking honesty and integrity, and thus unworthy of legal rights.",How Trump Uses Language to Attack the Idea of Transgender Identity. Trump’s Words  Attack Morality  Of Being Trans,"'A protest on Sunday outside Seattle Children’s Hospital, which postponed some gender-affirming surgeries for minors after an executive order by Mr. Trump.'"
U.S.,20dc-econ-pgjq-articleLarge.jpg,Tariffs and tax cuts amid high interest rates and lingering inflation will pose a test for the U.S. economy.,Tariffs and tax cuts amid high interest rates and lingering inflation will pose a test for the U.S. economy.,Trump Agenda Heralds an Economic Experiment for the U.S.. Trump Plans  Comprise Experiment  In Economics,'Consumer prices are now more than 20 percent higher than when President-elect Donald J. Trump left office.'
U.S.,17nat-dei-k12-01-vzlj-articleLarge.jpg,"Can President Trump withhold federal money for low-income students? A brewing fight over diversity, equity and inclusion programs may force the courts to decide.","Can President Trump withhold federal money for low-income students? A brewing fight over diversity, equity and inclusion programs may force the courts to decide.","A Legal Battle Over Trump’s Threats to Public School Funding Has Begun. Trump Turns Up Pressure, But Educators Fight Back",'Public schools in the United States receive only about 10 percent of their funding from the federal government.'
U.S.,09dc-prexy-topart-wckb-articleLarge.jpg,Nuclear talks between the United States and Iran are set for Saturday. President Trump has set a high bar for success.,Nuclear talks between the United States and Iran are set for Saturday. President Trump has set a high bar for success.,"Trump Wants an Iran Nuclear Deal, but It Must Be Better Than Obama’s. Trump Now Has His Chance to Reach Tougher Nuclear Deal With Iran","'Steve Witkoff, the president’s friend and fellow New York real estate developer, reportedly will lead the American side of the negotiations. Mr. Witkoff has no known background in the complex technology of nuclear fuel enrichment, or the many steps to nuclear bomb making.'"
U.S.,06dc-trumo-topart-mqtv-articleLarge.jpg,"There had been deep concerns in the legal community that no firm was going to be willing to step up and represent the firm, Perkins Coie.","There had been deep concerns in the legal community that no firm was going to be willing to step up and represent the firm, Perkins Coie.",Law Firm Targeted by a Trump Executive Order Files Suit.,"'In its suit, Perkins Coie said that the implications for the executive order President Trump signed were “an affront to the Constitution and our adversarial system of justice.”'"
U.S.,23dc-trump-press-hbvw-articleLarge.jpg,His volubility in his first few days back in office underscores that President Trump is in charge of his own show.,His volubility in his first few days back in office underscores that President Trump is in charge of his own show.,Trump Revels in a Presidential Perk: The Omnipresent Press Pool.,'President Trump sees the ability to capture the attention of reporters at a moment’s notice as one of the best parts of the gig.'
U.S.,30gabbard-takeaways-qvbj-articleLarge.jpg,President Trump’s choice to serve as the director of national intelligence faced tough questions from senators in both parties.,President Trump’s choice to serve as the director of national intelligence faced tough questions from senators in both parties.,4 Takeaways From Tulsi Gabbard’s Confirmation Hearing.,'Tulsi Gabbard has transformed herself into one of President Trump’s fiercest foreign policy defenders.'
U.S.,25dc-hegseth-jvlw-articleLarge.jpg,The disclosure of battle plans on a chat app created a new predicament for the defense secretary.,The disclosure of battle plans on a chat app created a new predicament for the defense secretary.,"Inside Pete Hegseth’s Rocky First Months at the Pentagon. Before the Group Chat, Hegseth’s First Months Were Already Troubled","'Defense Secretary Pete Hegseth has experienced some expected challenges in his high-profile role, but he has also stumbled trying to get ahead of his boss, President Trump.'"
U.S.,12dc-trump-topart-jmfl-articleLarge.jpg,"The president offers many reasons for imposing tariffs, including revenue, leverage over competitors and job creation. But history suggests a more complex history.","The president offers many reasons for imposing tariffs, including revenue, leverage over competitors and job creation. But history suggests a more complex history.",Trump’s Big Bet: Americans Will Tolerate Economic Downturn to Restore Manufacturing. Trump Bets Americans Will Accept Downturn To Restore Industry,"'President Trump has acknowledged in recent days that the United States may be headed into a recession, even as he doubles down on imposing tariffs on Canada, Mexico, China and the European Union.'"
U.S.,01DC-SILENCE-wzch-cover-articleLarge.jpg,"People say they are intimidated by online attacks from the president, concerned about harm to their businesses or worried about the safety of their families.","People say they are intimidated by online attacks from the president, concerned about harm to their businesses or worried about the safety of their families.","‘People Are Going Silent’: Fearing Retribution, Trump Critics Muzzle Themselves. Fearing Payback, Critics of Trump Mute Themselves",''
U.S.,08dc-assess-01-khfv-articleLarge.jpg,"The global trading system is only one example of the administration tearing something apart, only to reveal that it has no plan for how to replace it.","The global trading system is only one example of the administration tearing something apart, only to reveal that it has no plan for how to replace it.",An Experiment in Recklessness: Trump as Global Disrupter. Trump’s Latest Experiment in Recklessness: Tearing a Global System Apart,'President Trump has appeared mostly unmoved as the knock-on effects of his administration’s moves take shape.'
U.S.,15scotus-tiktok-china-law-lkgh-articleLarge.jpg,A change to China’s export rules could give Beijing sign off on any deal that would force the internet giant ByteDance to give up TikTok.,A change to China’s export rules could give Beijing sign off on any deal that would force the internet giant ByteDance to give up TikTok.,Why Beijing Could Have the Last Say on Any TikTok Deal.,"'Shou Chew, the chief executive of TikTok, testified before Congress in 2023 about the app’s ties to China.'"
U.S.,10dc-rubio-topart-hqwt-articleLarge.jpg,"After blowing up at Elon Musk, Secretary of State Marco Rubio aims to bolster his position. He is seeing Saudi and Ukrainian officials in Saudi Arabia and allied diplomats in Canada.","After blowing up at Elon Musk, Secretary of State Marco Rubio aims to bolster his position. He is seeing Saudi and Ukrainian officials in Saudi Arabia and allied diplomats in Canada.",Rubio Seeks Cease-Fire in Ukraine After Reaching His Own With Musk. Juggling Diplomacy At the White House And Farther Afield,'Secretary of State Marco Rubio has endured criticism for appearing to have surrendered longtime principles on such matters as his backing for robust U.S. foreign aid and his staunch support for Ukraine’s defense against Russian aggression.'
U.S.,30dc-fed-01-hkqt-articleLarge.jpg,Fresh tariffs amid high inflation are making the Fed’s job uniquely difficult and feeding uncertainty about what to expect for interest rates this year.,Fresh tariffs amid high inflation are making the Fed’s job uniquely difficult and feeding uncertainty about what to expect for interest rates this year.,High Inflation Sows Debate About New Fed Playbook for Tariffs. Trade Policy Complicates Fed’s Mission,'The volume of trade policy proposals is making the Federal Reserve’s already tricky job even more difficult as it seeks to finish off its yearslong effort to extinguish high inflation.'
U.S.,20dc-prexy-topart-fwhb-articleLarge.jpg,European officials knew the president’s win would threaten the fundamental precepts of the post-World War II order. But the speed at which it is unraveling has created a crisis of enormous proportions.,European officials knew the president’s win would threaten the fundamental precepts of the post-World War II order. But the speed at which it is unraveling has created a crisis of enormous proportions.,"Europe’s New Reality: Trump May Not Quit NATO, but He’s Already Undercutting It. Europe Fears Peril to NATO  From Within","'President Trump on Sunday in West Palm Beach, Fla. This week, he falsely accused Ukraine of provoking Russia’s invasion of its territory, reversing three years of NATO unity on that war.'"
U.S.,04dc-trump-iran-wvkl-articleLarge.jpg,"The president made the comment during a visit from Israel’s prime minister, and he signed an executive order to intensify a campaign intended to persuade Iran to give up its nuclear program.","The president made the comment during a visit from Israel’s prime minister, and he signed an executive order to intensify a campaign intended to persuade Iran to give up its nuclear program.",Trump Says He Left Instructions to ‘Obliterate’ Iran if It Assassinates Him.,'It is not clear what form President Trump’s pressure campaign might take.'
U.S.,DC-JOHNSON-UKRAINE-wqfh-articleLarge.jpg,"Many Republicans have made a reversal on Russia and Ukraine, falling in line behind President Trump. No turnabout has been more striking than that of the Republican speaker.","Many Republicans have made a reversal on Russia and Ukraine, falling in line behind President Trump. No turnabout has been more striking than that of the Republican speaker.","How Johnson, Who Put His Job at Risk to Save Ukraine Aid, Flipped for Trump. Johnson Risked Job for Ukraine Aid. No More.","'Speaker Mike Johnson engaged in highly secretive talks with top Biden administration officials to salvage aid to Ukraine last year. Now, he is siding with President Trump as he blames those same officials for causing the war.'"
U.S.,04dc-trump-01-jhgk-articleLarge.jpg,"President Trump boasted about his first weeks in office and doubled down on his agenda. Al Green, a Democratic lawmaker from Texas, repeatedly yelled “you don’t have a mandate” and was escorted out.","President Trump boasted about his first weeks in office and doubled down on his agenda. Al Green, a Democratic lawmaker from Texas, repeatedly yelled “you don’t have a mandate” and was escorted out.",A Combative Trump Says ‘America Is Back’ and Taunts His Political Rivals.,'President Trump delivered a contentious speech to Congress on Tuesday.'
U.S.,dc-immig1-cvjf-articleLarge.jpg,A crackdown targeting foreign students protesting Israel’s treatment of Palestinians conflicts with free-speech protections that lawmakers added in 1990.,A crackdown targeting foreign students protesting Israel’s treatment of Palestinians conflicts with free-speech protections that lawmakers added in 1990.,"Congress Wrote a Deportation Law to Be Used ‘Sparingly.’ Trump Has Other Ideas.. In Detaining Students, Trump Tests Law’s Limits","'The Trump administration has made an effort to systematically deport foreign students who have expressed pro-Palestinian views, beginning in March with the detention of Mahmoud Khalil, a former Columbia University graduate student.'"
World,11ukraine-casualties-01-ftbq-articleLarge.jpg,Russia has lost about twice as many men to death and serious injury as Ukraine. But the trends favor the Kremlin.,Russia has lost about twice as many men to death and serious injury as Ukraine. But the trends favor the Kremlin.,"Ukraine Is Losing Fewer Soldiers Than Russia — but It’s Still Losing the War. Fewer Battlefield Deaths, But Still Losing to Russia","'A memorial park in Kursk, Russia, for soldiers killed in World War II is now also used for burials of soldiers killed in the war in Ukraine.'"
World,00russia-kursk-01-qhkj-articleLarge.jpg,"Russia has retaken about two-thirds of the territory Ukraine seized last summer in the Kursk region of Russia, but at a fearful cost in lives.","Russia has retaken about two-thirds of the territory Ukraine seized last summer in the Kursk region of Russia, but at a fearful cost in lives.","With Drones and North Korean Troops, Russia Pushes Back Ukraine’s Offensive. Russian Drones and North Korean Troops Beat Back Ukraine’s Forces in Kursk","'A Ukrainian military vehicle driving in the country’s Sumy region, near the border with the Kursk region of Russia, in January.'"
World,01russia-putin-01-bgvm-articleLarge.jpg,The public blowup could propel President Vladimir V. Putin of Russia to escalate the fight in Ukraine instead of agreeing to peace.,The public blowup could propel President Vladimir V. Putin of Russia to escalate the fight in Ukraine instead of agreeing to peace.,Trump’s Dressing Down of Zelensky Plays Into Putin’s War Aims. Allies’ Blowup Could Intensify Putin’s Attacks,"'President Vladimir V. Putin of Russia in Moscow this week, in a photograph released by Russian state media. One analyst said that given the spat between Washington and Kyiv, “Russia will be willing to keep fighting for longer, and more bitterly.”'"
World,31norway-ship-zmgh-articleLarge.jpg,"The authorities said they believed the vessel may have been involved in damaging the cable, the latest act of apparent sabotage in the Baltic Sea.","The authorities said they believed the vessel may have been involved in damaging the cable, the latest act of apparent sabotage in the Baltic Sea.",Norway Seizes Russian-Crewed Ship Suspected of Cutting an Undersea Cable. Norway Seizes Russian-Crewed Ship Suspected of Cutting an Undersea Cable,'Crew members on a French Navy plane patrolling over the Baltic Sea last week as part of a NATO mission to protect undersea cables and pipelines.'
World,12int-ukraine-europe-01-qbck-articleLarge.jpg,"Leaders worked hard to get President Volodymyr Zelensky back in the good graces of President Trump, no matter how humiliating, and to shift the onus to Russia.","Leaders worked hard to get President Volodymyr Zelensky back in the good graces of President Trump, no matter how humiliating, and to shift the onus to Russia.",Europe Welcomes a Ukraine Cease-Fire Offer and a Revival of U.S. Aid. Europe Welcomes Offer of 30-Day Cease-Fire and Restoration of U.S. Aid,'President Volodymyr Zelensky of Ukraine has offered repeated expressions of gratitude to President Trump in the days since their angry Oval Office meeting.'
World,00musk-mother-01-lhjk-articleLarge.jpg,"Maye Musk, a model and a public speaker, recently headlined a government conference in Dubai and endorsed a slew of products in China.","Maye Musk, a model and a public speaker, recently headlined a government conference in Dubai and endorsed a slew of products in China.","As Musk Consolidates Power in the U.S., His Mother Is in Demand Overseas. As Musk Claims Power in U.S., His Mother Is a Hit Overseas","'Maye Musk at a forum on women in Almaty, Kazakhstan, in October.'"
World,00int-nepal-drones-01-mbgf-articleLarge.jpg,"The devices will be used to airlift heavy, dangerous loads normally carried by mountain guides. They might even deliver a hot meal or two.","The devices will be used to airlift heavy, dangerous loads normally carried by mountain guides. They might even deliver a hot meal or two.",Drones Will Do Some Schlepping for Sherpas on Mount Everest. Drones to Help Sherpas With the Heavy Lifting,"'A Sherpa in Nepal’s Everest region, with Mount Kongde in the background. More guides have died in accidents on Mount Everest as snowmelt has accelerated.'"
World,europe-ukraine-01-jbcg-articleLarge.jpg,European leaders met in London to form a plan to help end the war in Ukraine. But even potential peacekeepers face political and economic hurdles.,European leaders met in London to form a plan to help end the war in Ukraine. But even potential peacekeepers face political and economic hurdles.,Who Will Join Europe’s ‘Coalition of the Willing’ to Help Ukraine?. Push in Europe For Pitching In  To Aid Ukraine,"'Prime Minister Keir Starmer of Britain, front center, presented the coalition as one of multiple steps that included continued military aid.'"
World,15int-ukraine-sumy-02-wgkm-articleLarge.jpg,People in the Ukrainian city struck on Palm Sunday have little hope of a cease-fire.,People in the Ukrainian city struck on Palm Sunday have little hope of a cease-fire.,‘We Don’t Have a Day or Night of Calm’. Attacked City Sees No Hope For Cease-Fire,''
World,07ukraine-satellite2-gjtq-articleLarge.jpg,Ukraine uses the technology to track the movement of Russian troops and assess damage to infrastructure.,Ukraine uses the technology to track the movement of Russian troops and assess damage to infrastructure.,U.S. Suspends Ukraine’s Access to Satellite Imagery.,"'Satellite imagery from Maxar Technologies, which has shared its work with Ukraine under a Pentagon program, shows an ammunition depot in Toropets, Russia, before and after a Ukrainian drone attack last year.'"
World,28myanmar-ledeall-1-ckqp-articleLarge.jpg,"The 7.7-magnitude earthquake near Mandalay, in a country already torn by war, was felt across Southeast Asia, and experts warned there could be tens of thousands dead.","The 7.7-magnitude earthquake near Mandalay, in a country already torn by war, was felt across Southeast Asia, and experts warned there could be tens of thousands dead.",Major Quake Batters Myanmar; High Toll Is Feared as Buildings Topple. High Toll Feared After Major Quake Strikes Myanmar,"'A collapsed building in Mandalay, Myanmar’s second-largest city, just a few miles from the earthquake’s epicenter, on Friday.'"
World,03europe-defense-jzhb-articleLarge.jpg,European leaders gathered Monday to plot a rough path forward on defense. Wavering support from President Trump is driving the debate.,European leaders gathered Monday to plot a rough path forward on defense. Wavering support from President Trump is driving the debate.,"With Trump’s Backing Uncertain, Europe Scrambles to Shore Up Its Own Defenses. Europe Weighs How to Bolster Military Might","'German soldiers unloading a U.S.-made surface-to-air missile system last month in Jasionka, Poland.'"
World,21ukraine-nkorea-03-hljt-articleLarge.jpg,"Ukrainian forces described a different kind of enemy, fighting with unfamiliar tactics and little option to retreat.","Ukrainian forces described a different kind of enemy, fighting with unfamiliar tactics and little option to retreat.","Fighting Alongside Russia, North Koreans Wage Their Own War. North Koreans Going It Alone On Battlefield","'Russian soldiers at an artillery position in the Kursk region, in December. Even before it sent troops, North Korea was supplying Russia with millions of artillery shells.'"
